Ref,Val,Package,PosX,PosY,Rot,Side
"AMP1","TL082","SO-8_3.9x4.9mm_P1.27mm",138.087800,-71.715000,0.000000,top
"AMP2","TL082","SO-8_3.9x4.9mm_P1.27mm",138.087800,-89.495000,0.000000,top
"AMP3","TL082","SO-8_3.9x4.9mm_P1.27mm",138.087800,-107.275000,0.000000,top
"AMP4","TL082","SO-8_3.9x4.9mm_P1.27mm",148.247800,-111.939000,90.000000,top
"AMP5","TL082","SO-8_3.9x4.9mm_P1.27mm",158.407800,-111.939000,90.000000,top
"AMP6","TL082","SO-8_3.9x4.9mm_P1.27mm",168.567800,-111.939000,90.000000,top
"AMP7","TL082","SO-8_3.9x4.9mm_P1.27mm",178.727800,-111.939000,90.000000,top
"AMP8","TL082","SO-8_3.9x4.9mm_P1.27mm",158.026800,-52.157000,90.000000,top
"C1","25V 47µF","CP_EIA-6032-20_AVX-F",159.766000,-42.749500,90.000000,top
"C2","10V 100µF","CP_EIA-3528-15_AVX-H",164.973000,-41.820000,90.000000,top
"DZ1","3.3V","D_MELF",179.870800,-67.016000,180.000000,top
"DZ2","3.3V","D_MELF",172.014800,-67.016000,180.000000,top
"DZ3","3.3V","D_MELF",179.870800,-70.572000,180.000000,top
"DZ4","3.3V","D_MELF",172.014800,-70.572000,180.000000,top
"DZ5","3.3V","D_MELF",179.857800,-74.128000,180.000000,top
"DZ6","3.3V","D_MELF",172.009800,-74.128000,180.000000,top
"DZ7","3.3V","D_MELF",179.870800,-88.352000,180.000000,top
"DZ8","3.3V","D_MELF",172.009800,-88.352000,180.000000,top
"DZ9","3.3V","D_MELF",179.870800,-84.796000,180.000000,top
"DZ10","3.3V","D_MELF",172.009800,-84.796000,180.000000,top
"DZ11","3.3V","D_MELF",179.870800,-81.240000,180.000000,top
"DZ12","3.3V","D_MELF",172.009800,-81.240000,180.000000,top
"DZ13","3.3V","D_MELF",179.870800,-77.684000,180.000000,top
"DZ14","3.3V","D_MELF",172.009800,-77.684000,180.000000,top
"J1","KF301-2P","TerminalBlock_bornier-2_P5.08mm",111.252000,-120.483000,0.000000,top
"J2","KF301-2P","TerminalBlock_bornier-2_P5.08mm",121.412000,-120.483000,0.000000,top
"J3","KF301-2P","TerminalBlock_bornier-2_P5.08mm",145.707800,-120.483000,0.000000,top
"J4","KF301-2P","TerminalBlock_bornier-2_P5.08mm",155.867800,-120.483000,0.000000,top
"J5","KF301-2P","TerminalBlock_bornier-2_P5.08mm",166.027800,-120.483000,0.000000,top
"J6","KF301-2P","TerminalBlock_bornier-2_P5.08mm",176.187800,-120.483000,0.000000,top
"MCU1","ESP32-S3-WROOM-1-N16R8","XCVR_ESP32-S3-WROOM-2-N32R8V",155.765800,-90.117000,180.000000,top
"P1","Pin Header","PinHeader_1x03_P2.54mm_Vertical",147.612800,-73.112000,90.000000,top
"P2","Pin Header","PinHeader_1x01_P2.54mm_Vertical",172.720000,-93.091000,90.000000,top
"P3","Pin Header","PinHeader_1x04_P2.54mm_Vertical",172.720000,-100.076000,90.000000,top
"P4","Pin Header","PinHeader_1x03_P2.54mm_Vertical",147.612800,-67.524000,90.000000,top
"P5","Pin Header","PinHeader_1x06_P2.54mm_Vertical",168.948800,-62.317000,-90.000000,top
"PS1","HLK-5M12","Converter_ACDC_HiLink_HLK-5Mxx",111.734500,-47.546000,0.000000,top
"PS2","AMS1117-3.3","SOT-223-3_TabPin2",152.386000,-43.165000,90.000000,top
"R1","10kΩ","R_1210_3225Metric",165.138800,-56.348000,180.000000,top
"R2","10kΩ","R_1210_3225Metric",165.138800,-53.046000,0.000000,top
"R3","RPvolt","R_1210_3225Metric",111.671800,-66.700500,-90.000000,top
"R4","RPvolt","R_1210_3225Metric",111.671800,-84.607500,-90.000000,top
"R5","RPvolt","R_1210_3225Metric",111.671800,-102.387500,-90.000000,top
"R6","RSvolt","R_1210_3225Metric",138.087800,-67.270000,0.000000,top
"R7","RSvolt","R_1210_3225Metric",138.087800,-85.050000,0.000000,top
"R8","RSvolt","R_1210_3225Metric",138.087800,-102.830000,0.000000,top
"R9","Rcurr","R_1210_3225Metric",143.802800,-111.974000,-90.000000,top
"R10","Rcurr","R_1210_3225Metric",153.962800,-111.974000,-90.000000,top
"R11","Rcurr","R_1210_3225Metric",164.122800,-111.974000,-90.000000,top
"R12","Rcurr","R_1210_3225Metric",174.282800,-111.974000,-90.000000,top
"R13","50Ω","R_1210_3225Metric",138.087800,-76.160000,180.000000,top
"R14","50Ω","R_1210_3225Metric",138.087800,-93.940000,180.000000,top
"R15","50Ω","R_1210_3225Metric",138.087800,-111.720000,180.000000,top
"R16","50Ω","R_1210_3225Metric",148.247800,-106.005000,180.000000,top
"R17","50Ω","R_1210_3225Metric",158.407800,-106.005000,180.000000,top
"R18","50Ω","R_1210_3225Metric",168.567800,-106.005000,180.000000,top
"R19","50Ω","R_1210_3225Metric",178.727800,-106.005000,180.000000,top
"SW1","SS-12D00G 4mm","PinHeader_1x03_P2.54mm_Vertical",151.511000,-54.483000,0.000000,top
"TP1","ZMPT101B","XFMR_ZMPT101B",123.783800,-71.588000,0.000000,top
"TP2","ZMPT101B","XFMR_ZMPT101B",123.783800,-89.495000,0.000000,top
"TP3","ZMPT101B","XFMR_ZMPT101B",123.783800,-107.275000,0.000000,top
